,method,dr,runtime,n1,n2,k,distribution
397,spectral,True,1.6754450798034668,200,150,400,multipeak
398,random,False,1.1902916431427002,200,150,400,multipeak
399,random,True,1.2202949523925781,200,150,400,multipeak
400,kmeans,False,2.9529502391815186,200,200,100,multipeak
401,kmeans,True,3.0502264499664307,200,200,100,multipeak
402,affinity,False,0.4132349491119385,200,200,100,multipeak
403,affinity,True,0.32779574394226074,200,200,100,multipeak
404,hierarchical,False,0.20005321502685547,200,200,100,multipeak
405,hierarchical,True,0.19007444381713867,200,200,100,multipeak
406,spectral,False,0.21236419677734375,200,200,100,multipeak
407,spectral,True,0.20408082008361816,200,200,100,multipeak
408,random,False,0.1555650234222412,200,200,100,multipeak
409,random,True,0.1560955047607422,200,200,100,multipeak
410,kmeans,False,3.3904266357421875,200,200,200,multipeak
411,kmeans,True,3.3421847820281982,200,200,200,multipeak
412,affinity,False,1.3444573879241943,200,200,200,multipeak
413,affinity,True,1.057511568069458,200,200,200,multipeak
414,hierarchical,False,0.6637487411499023,200,200,200,multipeak
415,hierarchical,True,0.6855025291442871,200,200,200,multipeak
416,spectral,False,0.7088930606842041,200,200,200,multipeak
417,spectral,True,0.6752166748046875,200,200,200,multipeak
418,random,False,0.5448355674743652,200,200,200,multipeak
419,random,True,0.47365689277648926,200,200,200,multipeak
420,kmeans,False,4.330270290374756,200,200,300,multipeak
421,kmeans,True,4.474635362625122,200,200,300,multipeak
422,affinity,False,2.4095115661621094,200,200,300,multipeak
423,affinity,True,1.7398090362548828,200,200,300,multipeak
424,hierarchical,False,1.1382954120635986,200,200,300,multipeak
425,hierarchical,True,1.3215069770812988,200,200,300,multipeak
426,spectral,False,1.4504411220550537,200,200,300,multipeak
427,spectral,True,1.4533183574676514,200,200,300,multipeak
428,random,False,1.2434461116790771,200,200,300,multipeak
429,random,True,1.212815284729004,200,200,300,multipeak
430,kmeans,False,5.868095636367798,200,200,400,multipeak
431,kmeans,True,5.317619800567627,200,200,400,multipeak
432,affinity,False,3.4432945251464844,200,200,400,multipeak
433,affinity,True,3.671049118041992,200,200,400,multipeak
434,hierarchical,False,2.487591028213501,200,200,400,multipeak
435,hierarchical,True,2.0829203128814697,200,200,400,multipeak
436,spectral,False,2.146124839782715,200,200,400,multipeak
437,spectral,True,2.2917909622192383,200,200,400,multipeak
438,random,False,2.179608106613159,200,200,400,multipeak
439,random,True,2.2241034507751465,200,200,400,multipeak
440,kmeans,False,2.577073097229004,200,50,100,multipeak
441,kmeans,True,2.5372302532196045,200,50,100,multipeak
442,affinity,False,0.08051705360412598,200,50,100,multipeak
443,affinity,True,0.0685586929321289,200,50,100,multipeak
444,hierarchical,False,0.04801750183105469,200,50,100,multipeak
445,hierarchical,True,0.04549884796142578,200,50,100,multipeak
446,spectral,False,0.07100200653076172,200,50,100,multipeak
447,spectral,True,0.07155489921569824,200,50,100,multipeak
448,random,False,0.02899909019470215,200,50,100,multipeak
449,random,True,0.030549049377441406,200,50,100,multipeak
450,kmeans,False,3.485761880874634,200,50,200,multipeak
451,kmeans,True,3.1042640209198,200,50,200,multipeak
452,affinity,False,0.2027139663696289,200,50,200,multipeak
453,affinity,True,0.18696999549865723,200,50,200,multipeak
454,hierarchical,False,0.14151525497436523,200,50,200,multipeak
455,hierarchical,True,0.13106584548950195,200,50,200,multipeak
456,spectral,False,0.19229435920715332,200,50,200,multipeak
457,spectral,True,0.1846327781677246,200,50,200,multipeak
458,random,False,0.10160636901855469,200,50,200,multipeak
459,random,True,0.10766816139221191,200,50,200,multipeak
460,kmeans,False,3.0739634037017822,200,50,300,multipeak
461,kmeans,True,3.290829658508301,200,50,300,multipeak
462,affinity,False,0.44124388694763184,200,50,300,multipeak
463,affinity,True,0.5564899444580078,200,50,300,multipeak
464,hierarchical,False,0.3431267738342285,200,50,300,multipeak
465,hierarchical,True,0.3237583637237549,200,50,300,multipeak
466,spectral,False,0.43604445457458496,200,50,300,multipeak
467,spectral,True,0.4170854091644287,200,50,300,multipeak
468,random,False,0.24265360832214355,200,50,300,multipeak
469,random,True,0.2500650882720947,200,50,300,multipeak
470,kmeans,False,3.4067084789276123,200,50,400,multipeak
471,kmeans,True,3.4615073204040527,200,50,400,multipeak
472,affinity,False,0.719111442565918,200,50,400,multipeak
473,affinity,True,0.7503728866577148,200,50,400,multipeak
474,hierarchical,False,0.5532081127166748,200,50,400,multipeak
475,hierarchical,True,0.5593090057373047,200,50,400,multipeak
476,spectral,False,0.7932791709899902,200,50,400,multipeak
477,spectral,True,0.7518117427825928,200,50,400,multipeak
478,random,False,0.3962068557739258,200,50,400,multipeak
479,random,True,0.3731873035430908,200,50,400,multipeak
480,kmeans,False,2.7288718223571777,50,100,100,multipeak
481,kmeans,True,2.659172296524048,50,100,100,multipeak
482,affinity,False,0.09253501892089844,50,100,100,multipeak
483,affinity,True,0.14560675621032715,50,100,100,multipeak
484,hierarchical,False,0.059572696685791016,50,100,100,multipeak
485,hierarchical,True,0.04899907112121582,50,100,100,multipeak
486,spectral,False,0.08454465866088867,50,100,100,multipeak
487,spectral,True,0.08182263374328613,50,100,100,multipeak
488,random,False,0.028989315032958984,50,100,100,multipeak
489,random,True,0.03368544578552246,50,100,100,multipeak
490,kmeans,False,3.481261968612671,50,100,200,multipeak
